date,return_pct
2021-01-31,-2.879668323870943
2021-02-28,-0.27972568415098875
2021-03-31,0.03863386786557843
2021-04-30,1.776298150040967
2021-05-31,5.25098078584576
2021-06-30,-1.351169982119893
2021-07-31,1.5558349816154227
2021-08-31,1.415070513476313
2021-09-30,-4.191402598254146
2021-10-31,4.047317202591216
2021-11-30,5.014985307683184
2021-12-31,2.6483503442543466
2022-01-31,-6.064612146286141
2022-02-28,2.049019330050328
2022-03-31,1.3537541057202507
2022-04-30,-8.299495671170277
2022-05-31,1.5262633544617765
2022-06-30,-8.981122111762863
2022-07-31,6.290260001047598
2022-08-31,-6.035468154065238
2022-09-30,-8.169300460787909
2022-10-31,0.24461044601491455
2022-11-30,14.121498614502869
2022-12-31,-3.3705670013875033
2023-01-31,10.978856786174052
2023-02-28,-2.2632473226849914
2023-03-31,8.938579976439541
2023-04-30,-2.440431509274299
2023-05-31,7.353957296317937
2023-06-30,1.4596651939587924
2023-07-31,3.8517327900682963
2023-08-31,-1.9497576805743488
2023-09-30,-5.890526181433476
2023-10-31,1.7534909295913614
2023-11-30,8.645694050738474
2023-12-31,5.244364881441266
2024-01-31,2.3170550021116343
2024-02-29,6.866695721181215
2024-03-31,7.513385054852617
2024-04-30,-0.7614053283422129
2024-05-31,6.713686841358579
2024-06-30,3.944354784041426
2024-07-31,0.2855109229597419
2024-08-31,0.5805371720412067
2024-09-30,3.137294975823246
2024-10-31,1.5635174798931617
2024-11-30,-1.4634542141735207
2024-12-31,-0.37840915435559674
2025-01-31,4.053552551112838
2025-02-28,-1.1663682140814258
2025-03-31,0.187198962006363
2025-04-30,3.183375680498113
2025-05-31,6.474502753947098
2025-06-30,7.837831175773435
2025-07-31,1.40914707482227
2025-08-31,2.8769717940677175
2025-09-30,12.147956237193803
2025-10-31,7.340735324963155
2025-11-30,1.3352442490802918
2025-12-31,2.440267728905021
2026-01-31,12.291580616923948
2026-02-28,5.195428378761857
2026-03-31,-8.30377469903083
2026-04-30,13.58270122416696
2026-05-31,7.6151470661867116
2026-06-30,-1.7185851494960658
2026-07-31,-8.267654010872594
2026-08-31,6.70209116345748
2026-09-30,-1.2280492120650521
