date,return_pct
2025-02-28,-6.2765548846586805
2025-03-31,-0.21404331507860475
2025-04-30,5.780126149236842
2025-05-31,11.694840931291584
2025-06-30,2.3476601524135
2025-07-31,10.096791849503873
2025-08-31,1.8507032572227633
2025-09-30,15.969573959462636
2025-10-31,-1.8194888743942483
2025-11-30,-5.890171481522266
2025-12-31,2.2752624559388757
2026-01-31,-1.1378821797032534
2026-02-28,1.837829817058867
2026-03-31,-5.716060672616152
2026-04-30,27.994630833475664
2026-05-31,32.19634409702592
2026-06-30,17.91155154115951
2026-07-31,-18.2056381183365
2026-08-31,3.050334827433576
