date,return_pct
2025-02-28,-8.329040545293543
2025-03-31,-0.2665894572875027
2025-04-30,7.726667317595992
2025-05-31,15.765233463147288
2025-06-30,3.1466526472565315
2025-07-31,13.110529006462901
2025-08-31,2.659970961239355
2025-09-30,21.143361968595855
2025-10-31,-2.3447733784239477
2025-11-30,-7.888649268532799
2025-12-31,2.9513684782453975
2026-01-31,-1.523382194062206
2026-02-28,2.541474466672633
2026-03-31,-7.592365125593825
2026-04-30,37.58118977631724
2026-05-31,43.27345417294446
2026-06-30,23.94463254182655
2026-07-31,-23.79909364236561
2026-08-31,3.9685862145072637
